20140820,146,,,,,,,,,
,1_,5_,10_,15_,30_,60_,,,,
0:00,6 ,6.2,6.2,6.8,7.5,7.6,,,,
0:01,5 ,6.2,6.2,6.8,7.5,7.6,,,,
0:02,7 ,6.2,6.2,6.8,7.5,7.6,,,,
0:03,6 ,6.2,6.2,6.8,7.5,7.6,,,,
0:04,7 ,6.2,6.2,6.8,7.5,7.6,,,,
0:05,6 ,6.2,6.2,6.8,7.5,7.6,,,,
0:06,6 ,6.2,6.2,6.8,7.5,7.6,,,,
0:07,6 ,6.2,6.2,6.8,7.5,7.6,,,,
0:08,7 ,6.2,6.2,6.8,7.5,7.6,,,,
0:09,6 ,6.2,6.2,6.8,7.5,7.6,,,,
0:10,7 ,8.0,8.1,6.8,7.5,7.6,,,,
0:11,8 ,8.0,8.1,6.8,7.5,7.6,,,,
0:12,8 ,8.0,8.1,6.8,7.5,7.6,,,,
0:13,9 ,8.0,8.1,6.8,7.5,7.6,,,,
0:14,8 ,8.0,8.1,6.8,7.5,7.6,,,,
0:15,8 ,8.2,8.1,8.2,7.5,7.6,,,,
0:16,8 ,8.2,8.1,8.2,7.5,7.6,,,,
0:17,9 ,8.2,8.1,8.2,7.5,7.6,,,,
0:18,8 ,8.2,8.1,8.2,7.5,7.6,,,,
0:19,8 ,8.2,8.1,8.2,7.5,7.6,,,,
0:20,8 ,8.2,8.2,8.2,7.5,7.6,,,,
0:21,8 ,8.2,8.2,8.2,7.5,7.6,,,,
0:22,9 ,8.2,8.2,8.2,7.5,7.6,,,,
0:23,8 ,8.2,8.2,8.2,7.5,7.6,,,,
0:24,8 ,8.2,8.2,8.2,7.5,7.6,,,,
0:25,9 ,8.2,8.2,8.2,7.5,7.6,,,,
0:26,8 ,8.2,8.2,8.2,7.5,7.6,,,,
0:27,8 ,8.2,8.2,8.2,7.5,7.6,,,,
0:28,8 ,8.2,8.2,8.2,7.5,7.6,,,,
0:29,8 ,8.2,8.2,8.2,7.5,7.6,,,,
0:30,9 ,8.4,8.3,8.2,7.6,7.6,,,,
0:31,8 ,8.4,8.3,8.2,7.6,7.6,,,,
0:32,8 ,8.4,8.3,8.2,7.6,7.6,,,,
0:33,8 ,8.4,8.3,8.2,7.6,7.6,,,,
0:34,9 ,8.4,8.3,8.2,7.6,7.6,,,,
0:35,8 ,8.2,8.3,8.2,7.6,7.6,,,,
0:36,8 ,8.2,8.3,8.2,7.6,7.6,,,,
0:37,8 ,8.2,8.3,8.2,7.6,7.6,,,,
0:38,9 ,8.2,8.3,8.2,7.6,7.6,,,,
0:39,8 ,8.2,8.3,8.2,7.6,7.6,,,,
0:40,8 ,8.0,7.6,8.2,7.6,7.6,,,,
0:41,8 ,8.0,7.6,8.2,7.6,7.6,,,,
0:42,11 ,8.0,7.6,8.2,7.6,7.6,,,,
0:43,6 ,8.0,7.6,8.2,7.6,7.6,,,,
0:44,7 ,8.0,7.6,8.2,7.6,7.6,,,,
0:45,7 ,7.2,7.6,7.1,7.6,7.6,,,,
0:46,7 ,7.2,7.6,7.1,7.6,7.6,,,,
0:47,8 ,7.2,7.6,7.1,7.6,7.6,,,,
0:48,7 ,7.2,7.6,7.1,7.6,7.6,,,,
0:49,7 ,7.2,7.6,7.1,7.6,7.6,,,,
0:50,7 ,7.0,7.0,7.1,7.6,7.6,,,,
0:51,7 ,7.0,7.0,7.1,7.6,7.6,,,,
0:52,7 ,7.0,7.0,7.1,7.6,7.6,,,,
0:53,7 ,7.0,7.0,7.1,7.6,7.6,,,,
0:54,7 ,7.0,7.0,7.1,7.6,7.6,,,,
0:55,7 ,7.0,7.0,7.1,7.6,7.6,,,,
0:56,11 ,7.0,7.0,7.1,7.6,7.6,,,,
0:57,3 ,7.0,7.0,7.1,7.6,7.6,,,,
0:58,7 ,7.0,7.0,7.1,7.6,7.6,,,,
0:59,7 ,7.0,7.0,7.1,7.6,7.6,,,,
1:00,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:01,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:02,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:03,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:04,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:05,6 ,6.8,6.9,6.9,6.9,6.6,,,,
1:06,7 ,6.8,6.9,6.9,6.9,6.6,,,,
1:07,7 ,6.8,6.9,6.9,6.9,6.6,,,,
1:08,7 ,6.8,6.9,6.9,6.9,6.6,,,,
1:09,7 ,6.8,6.9,6.9,6.9,6.6,,,,
1:10,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:11,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:12,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:13,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:14,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:15,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:16,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:17,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:18,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:19,7 ,7.0,7.0,6.9,6.9,6.6,,,,
1:20,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:21,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:22,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:23,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:24,7 ,7.0,6.9,6.9,6.9,6.6,,,,
1:25,7 ,6.8,6.9,6.9,6.9,6.6,,,,
1:26,7 ,6.8,6.9,6.9,6.9,6.6,,,,
1:27,6 ,6.8,6.9,6.9,6.9,6.6,,,,
1:28,9 ,6.8,6.9,6.9,6.9,6.6,,,,
1:29,5 ,6.8,6.9,6.9,6.9,6.6,,,,
1:30,7 ,7.0,6.9,6.5,6.3,6.6,,,,
1:31,7 ,7.0,6.9,6.5,6.3,6.6,,,,
1:32,8 ,7.0,6.9,6.5,6.3,6.6,,,,
1:33,8 ,7.0,6.9,6.5,6.3,6.6,,,,
1:34,6 ,7.0,6.9,6.5,6.3,6.6,,,,
1:35,7 ,6.8,6.9,6.5,6.3,6.6,,,,
1:36,6 ,6.8,6.9,6.5,6.3,6.6,,,,
1:37,7 ,6.8,6.9,6.5,6.3,6.6,,,,
1:38,7 ,6.8,6.9,6.5,6.3,6.6,,,,
1:39,7 ,6.8,6.9,6.5,6.3,6.6,,,,
1:40,5 ,5.6,5.6,6.5,6.3,6.6,,,,
1:41,6 ,5.6,5.6,6.5,6.3,6.6,,,,
1:42,6 ,5.6,5.6,6.5,6.3,6.6,,,,
1:43,6 ,5.6,5.6,6.5,6.3,6.6,,,,
1:44,5 ,5.6,5.6,6.5,6.3,6.6,,,,
1:45,6 ,5.6,5.6,6.2,6.3,6.6,,,,
1:46,6 ,5.6,5.6,6.2,6.3,6.6,,,,
1:47,5 ,5.6,5.6,6.2,6.3,6.6,,,,
1:48,6 ,5.6,5.6,6.2,6.3,6.6,,,,
1:49,5 ,5.6,5.6,6.2,6.3,6.6,,,,
1:50,7 ,6.6,6.5,6.2,6.3,6.6,,,,
1:51,6 ,6.6,6.5,6.2,6.3,6.6,,,,
1:52,7 ,6.6,6.5,6.2,6.3,6.6,,,,
1:53,6 ,6.6,6.5,6.2,6.3,6.6,,,,
1:54,7 ,6.6,6.5,6.2,6.3,6.6,,,,
1:55,6 ,6.4,6.5,6.2,6.3,6.6,,,,
1:56,7 ,6.4,6.5,6.2,6.3,6.6,,,,
1:57,6 ,6.4,6.5,6.2,6.3,6.6,,,,
1:58,6 ,6.4,6.5,6.2,6.3,6.6,,,,
1:59,7 ,6.4,6.5,6.2,6.3,6.6,,,,
2:00,6 ,6.4,6.3,6.3,5.8,6.4,,,,
2:01,7 ,6.4,6.3,6.3,5.8,6.4,,,,
2:02,6 ,6.4,6.3,6.3,5.8,6.4,,,,
2:03,8 ,6.4,6.3,6.3,5.8,6.4,,,,
2:04,5 ,6.4,6.3,6.3,5.8,6.4,,,,
2:05,6 ,6.2,6.3,6.3,5.8,6.4,,,,
